"property_id","PostID","Offices","Agents","Board","ListingID","DdfListingID","LastUpdated","Latitude","Longitude","GeoLastUpdated","GeoSource","AmmenitiesNearBy","CommunicationType","CommunityFeatures","Crop","EquipmentType","Easement","FarmType","Features","IrrigationType","Lease","LeasePerTime","LeasePerUnit","LeaseTermRemaining","LeaseTermRemainingFreq","LeaseType","ListingContractDate","LiveStockType","LoadingType","LocationDescription","Machinery","MaintenanceFee","MaintenanceFeePaymentUnit","MaintenanceFeeType","ManagementCompany","OwnershipType","ParkingSpaceTotal","Plan","PoolType","PoolFeatures","Price","PricePerTime","PricePerUnit","PropertyType","PublicRemarks","RentalEquipmentType","RightType","RoadType","StorageType","Structure","SignType","TransactionType","TotalBuildings","ViewType","WaterFrontType","WaterFrontName","AdditionalInformationIndicator","ZoningDescription","ZoningType","MoreInformationLink","BusinessType","BusinessSubType","EstablishedDate","Franchise","Name","OperatingSince","BathroomTotal","BedroomsAboveGround","BedroomsBelowGround","BedroomsTotal","Age","Amenities","Amperage","Anchor","Appliances","ArchitecturalStyle","BasementDevelopment","BasementFeatures","BasementType","CeilingHeight","CeilingType","ClearCeilingHeight","ConstructedDate","ConstructionMaterial","ConstructionStatus","ConstructionStyleAttachment","ConstructionStyleOther","ConstructionStyleSplitLevel","CoolingType","ExteriorFinish","FireProtection","FireplaceFuel","FireplacePresent","FireplaceTotal","FireplaceType","Fixture","FlooringType","FoundationType","HalfBathTotal","HeatingFuel","HeatingType","RenovatedDate","RoofMaterial","RoofStyle","StoriesTotal","SizeExterior","SizeInterior","SizeInteriorFinished","StoreFront","TotalFinishedArea","Type","UnitType","UtilityPower","UtilityWater","VacancyRate","SizeTotal","SizeTotalText","SizeFrontage","AccessType","Acreage","LandAmenities","ClearedTotal","CurrentUse","Divisible","FenceTotal","FenceType","FrontsOn","LandDisposition","LandscapeFeatures","PastureTotal","Sewer","SizeDepth","SizeIrregular","SoilEvaluation","SoilType","SurfaceWater","TiledTotal","TopographyType","StreetAddress","AddressLine1","AddressLine2","StreetNumber","StreetName","StreetSuffix","StreetDirectionSuffix","UnitNumber","City","Province","PostalCode","Country","AdditionalStreetInfo","CommunityName","Neighbourhood","Subdivision","Utilities","Parking","OpenHouse","LiveStream","AlternateURL","CustomListing","Sold"
"12114","28243","48718","1397966,1666165","34","25718592","23011586","2023-06-15 19:19:09","42.29357","-82.85147","2023-10-13 19:30:23","realtypress","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TAKE EC ROW EAST TO PATILLO RD IN LAKESHORE SOUTH ON PATILLO FOR 1 KILOMETER",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"1560000.00",NULL,NULL,"Vacant Land","Lot # 5 is a 2.6 acre parcel in the New """"High Tech Industrial Park"""" in Lakeshore, located south of the EC Row Expressway just off Patillo Rd. This New 66.9 acre Industrial Park will have a new L-shaped Road with entrances from Patillo Rd and Little Baseline Rd. The proposed name of the road is High Tech Drive that will have new fully serviced industrial lots. Lot 5 is 2.6 acres offered For Sale at $ 600,000.00 per acre. This lot can be combined together with other lots to create larger acreages. The owner of the property is in the final stages of Plan of Sub-Division approval with the Municipality of Lakeshore and County of Essex. The 66.9 acres are already Zoned M1 Industrial with many permitted uses. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M1 INDUSTR",NULL,"https://www.realtor.ca/real-estate/25718592/lot-5-high-tech-drive-lakeshore",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"239 +/- FEET FRONTAGE Irr x 438 +/- FEET DEPTH",NULL,NULL,"false","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"239 +/- FEET FRONTAGE Irr x 438 +/- FEET DEPTH",NULL,NULL,NULL,NULL,NULL,"LOT 5 HIGH TECH DRIVE","LOT 5 HIGH TECH DRIVE",NULL,"LOT 5","HIGH TECH","Drive",NULL,NULL,"lakeshore","Ontario","N8N2L9","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
"16364","32497","48597","1396843","32","25939702","23015822","2023-09-05 16:18:25","42.4003639","-82.1843109","2023-10-13 19:57:09","ddf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"HEAD EAST ON RICMOND STREET, 1 BLOCK WEST OF QUEEN STREET.",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"6900000.00",NULL,NULL,"Industrial","ATTENTION INVESTORS/LANDLORDS/BUSINESS OWNERS!  CORNER LOT(S) WITH ALMOST 200' FRONTAGE ON RICHMOND STREET!  ENTIRE PROPERTY CONSIST OF A LARGE PLAZA WITH APPROX 8 APTS, SOME COMMERICIAL SPACE AND OWNERS QUARTERS. EXTREMELY LARGE OWNERS QUARTERS COMPRISING OF 3 BR, 4 BATHS, 2 KITCHENS, FORMAL DINING, OFFICE, INDOOR POOL, HOT TUB, SAUNA AND MUCH MORE.  BALANCE ARE 5 SINGLE FAMILY DWELLINGS.  RARE OPPORTUNITY TO AQUIRE 6 COMMERICIAL PROPERTIES, MAJORITY BEING CURRENTLY RENTED OUT AS RESIDENTIAL WITH SOME COMMERICIAL SPACE AVAILABLE.  PROPERTY COMPRISING OF APPOX. .63 ACRES IN TOTAL. THIS PROPERTY IS CLOSE TO THE DOWNTOWN AREA ON ONE OF CHATHAM'S MAJOR STREETS OFFERING GREAT PUBLIC EXPOSURE TO ANY BUSINESS OR OFFICE. THIS IS A ONE OF A KIND PARCEL BEING OFFERED TODAY.  CONTACT LISTING AGENT FOR FURTHER DETAILS. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"HC1",NULL,"https://www.realtor.ca/real-estate/25939702/40-richmond-street-chatham","Residential","Residential",NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1982",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,"Ceramic/Porcelain, Hardwood",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"House",NULL,NULL,NULL,NULL,"0.63 ac|1/2 - 1 acre","0.63 ac|1/2 - 1 acre",NULL,NULL,"false",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63",NULL,NULL,NULL,NULL,NULL,"40 RICHMOND STREET","40 RICHMOND STREET",NULL,"40","RICHMOND","Street",NULL,NULL,"chatham","Ontario","N7M1N6","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","{""VideoLink"":""https:\/\/youtu.be\/QmWq8Wd9sOk""}","0","0"
"22325","38466","79958","1523345","35","26063683","2113377","2023-09-15 20:58:46","46.4782791","-81.0211334","2023-10-13 20:31:05","ddf","Highway, Hospital, Playground, Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"259000.00",NULL,NULL,"Vacant Land","4 building lots.   R2-3 zoning.   Each lot is 33 x 120 feet.  Seller will do a VTB below bank rates.  Seller is a licensed Realtor. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"R2-3",NULL,"https://www.realtor.ca/real-estate/26063683/lots-51-to-54-demorest-avenue-sudbury",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"None",NULL,NULL,"132 X 120|10,890 - 21,799 sqft (1/4 - 1/2 ac)",NULL,NULL,"false","Highway, Hospital, Playground, Schools",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"132 X 120",NULL,NULL,NULL,NULL,NULL,"Lots 51 to 54 Demorest Avenue","Lots 51 to 54 Demorest Avenue",NULL,NULL,NULL,NULL,NULL,NULL,"sudbury","Ontario","P3C3J6","Canada",NULL,NULL,NULL,NULL,"[]","{""Name"":""None""}","[]","[]","[]","0","0"
"25888","42034","289717","1523363","35","25989379","2112960","2023-08-31 15:48:22","46.4570923","-80.4395752","2023-10-13 21:15:19","ddf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"499900.00",NULL,NULL,"Vacant Land","This property located on Hwy 17 East near the town of Coniston (towards North Bay) and is only 5 minutes from the corner of Falconbridge Rd. & the Kingsway.Has easy access to the Sault Ste Marie/ Toronto bypass and 15 minutes to the South End.The land is presently zoned as C2-94 & was originally designed for a self storage warehouse business.The lot has 483' frontage on Hwy 17 East & 417 feet + depth of C2 Zoning-6.65 acres of C2 Zoning as well as 1.25 acres acres of blasted rock which would complete this site to a total of 3.5 acres of buildable . In addition there is 60.75 acres of rural zoning (trees + mountains) which has the possibility of blasted rock.The property is 1 foot above the Highway and hydro is at the front of site ,a storm water mgmt report has 5 feet (depth) of blasted rock an Phase One Environmental Report from Pinchin and a land settlement /geotechnical report from TerraProbe Engineering.This property has various possibilities which would have to be approved by the City of Greater Sudbury.. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"C2(94)",NULL,"https://www.realtor.ca/real-estate/25989379/6840-highway-17-e-sudbury",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"None",NULL,NULL,"483 X 69 acres|50 - 100 acres",NULL,"Highway access, Year-round access","true",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"483 X 69 acres",NULL,NULL,NULL,NULL,NULL,"6840 Highway 17 E","6840 Highway 17 E",NULL,NULL,NULL,NULL,NULL,NULL,"sudbury","Ontario","P0M1M0","Canada",NULL,NULL,NULL,NULL,"[]","{""Name"":""Gravel""}","[]","[]","[]","0","0"
"32653","48800","48718","1397966","34","22934104","21003171","2021-03-18 05:42:24","42.3143959","-83.0516129","2023-10-13 21:47:50","ddf",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Visual exposure",NULL,"10.95",NULL,"square feet",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"0.00",NULL,NULL,"Industrial","2326 SQ FT OF FIRST CLASS MAIN FLOOR OFFICE SPACE ON BUSY UNIVERSITY AVE WEST. RIGHT ACROSS THE ROAD FROM THE FORMER GRACE HOSPITAL SITE ONLY A SHORT WALK TO THE UNIVERSITY OF WINDSOR. LOTS OF ON SITE FREE PARKING IN THE REAR WITH VIDEO SECURITY SURVEILLANCE AND ENTRANCE SYSTEM. THE UNIT CONSISTS OF RECEPTION AND COMMON AREA 2 EXECUTIVE OFFICES, 2 LARGE STAFF OFFICE, BOARD ROOM AND KITCHENETTE AND LUNCHROOM. 2 PRIVATE BATHROOMS, FRONT AND REAR EXITS AND BASEMENT STORAGE. PERFECT FOR ALL TYPES OF PROFESSIONAL OFFICE USES. LEGAL, FINANCIAL, ENGINEERING, ACCOUNTANT, INVESTMENT, MEDICAL ETC. THE SPACE IS ALSO ZONED FOR RETAIL USES AS WELL. LANDLORD WILL ALSO OFFER A TURN KEY SOLUTION COMPLETELY FINISHED TO THE RIGHT TENANT. FREE RENT AND FIXTURING PERIOD TO LONG TERM LEASE. THE UNIT HAS ITS OWN HVAC AND ELECTRICAL SEPARATELY METERED. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For lease",NULL,NULL,NULL,NULL,NULL,"CD2.2",NULL,"https://www.realtor.ca/real-estate/22934104/1050-university-avenue-west-windsor",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1979",NULL,NULL,NULL,NULL,NULL,"Air Conditioned",NULL,"Smoke Detectors",NULL,"False",NULL,NULL,NULL,"Carpeted, Marble",NULL,NULL,"Natural gas","Forced air",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75XIRREG FT",NULL,NULL,"false",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"75XIRREG FT",NULL,NULL,NULL,NULL,NULL,"1050 UNIVERSITY AVENUE West","1050 UNIVERSITY AVENUE West",NULL,"1050","UNIVERSITY","Avenue","West",NULL,"windsor","Ontario","N9A5S4","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
"43123","59278","109232","1523263,1616999","35","26040576","2113277","2023-09-11 18:58:32","46.5223885","-80.9026031","2023-10-13 22:37:10","ddf",NULL,NULL,NULL,NULL,"None",NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"799000.00",NULL,NULL,"Industrial","5.082 Acres of M3 Zoned Industrial Land in Prime New Sudbury Location. Property is ONLY accessed through a 66 foot wide Right Of Way over the whole of 0 Lasalle Blvd, PIN# 735640179 as described in instrument number LT111247. This property is Part 1 of 2652 Lasalle Blvd. but to be ONLY accessed by the Right of Way as described above. Any buyer should verify with the Greater City of Sudbury as to potential uses for this property. Such as; Blasting Rock and Selling to create a Level building plateau at whatever elevation desirable; Building a structure within the mountain; or any M3 uses that are allowed under this zoning. This property is located at the end of Lasalle Blvd, which is a main artery through New Sudbury, close to all Sudbury amenities and by-passes to outlying areas. (id:50029)","None",NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M3",NULL,"https://www.realtor.ca/real-estate/26040576/part-1-of-2652-lasalle-boulevard-sudbury","Industrial","General industrial",NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"None",NULL,NULL,"3 - 10 acres",NULL,"Right-of-way","true",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Part 1 of 2652 Lasalle Boulevard","Part 1 of 2652 Lasalle Boulevard",NULL,NULL,NULL,NULL,NULL,NULL,"sudbury","Ontario","P3A4R7","Canada",NULL,NULL,NULL,NULL,"[]","{""Name"":""None""}","[]","[]","[]","0","0"
"47200","63355","48718","1397966,1666165","34","25718596","23011582","2023-06-15 19:19:10","42.29357","-82.85147","2023-10-13 22:56:40","realtypress","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TAKE EC ROW EAST TO PATILLO RD IN LAKESHORE SOUTH ON PATILLO FOR 1 KILOMETER",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"1560000.00",NULL,NULL,"Vacant Land","Lot # 2 is a 2.6 acre parcel in the New """"High Tech Industrial Park"""" in Lakeshore, located south of the EC Row Expressway just off Patillo Rd. This New 66.9 acre Industrial Park will have a new L-shaped Road with entrances from Patillo Rd and Little Baseline Rd. The proposed name of the road is High Tech Drive that will have new fully serviced industrial lots. Lot 2 is 2.6 acres offered For Sale at $ 600,000.00 per acre. This lot can be combined together with other lots to create larger acreages. The owner of the property is in the final stages of Plan of Sub-Division approval with the Municipality of Lakeshore and County of Essex. The 66.9 acres are already Zoned M1 Industrial with many permitted uses. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M1 INDUSTR",NULL,"https://www.realtor.ca/real-estate/25718596/lot-2-high-tech-drive-lakeshore",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"258 +/- FEET FRONTAGE x 437 +/- FEET DEPTH",NULL,NULL,"false","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"258 +/- FEET FRONTAGE x 437 +/- FEET DEPTH",NULL,NULL,NULL,NULL,NULL,"LOT 2 HIGH TECH DRIVE","LOT 2 HIGH TECH DRIVE",NULL,"LOT 2","HIGH TECH","Drive",NULL,NULL,"lakeshore","Ontario","N8N2L9","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
"47204","63359","48718","1397966,1666165","34","25718591","23011587","2023-06-15 19:19:09","42.29357","-82.85147","2023-10-13 22:56:41","realtypress","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TAKE EC ROW EAST TO PATILLO RD IN LAKESHORE SOUTH ON PATILLO FOR 1 KILOMETER",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"3250000.00",NULL,NULL,"Vacant Land","Lot # 6 is a 5.25 acre parcel in the New """"High Tech Industrial Park"""" in Lakeshore, located south of the EC Row Expressway just off Patillo Rd. This New 66.9 acre Industrial Park will have a new L-shaped Road with entrances from Patillo Rd and Little Baseline Rd. The proposed name of the road is High Tech Drive that will have new fully serviced industrial lots. Lot 6 is 5 .25 acres offered For Sale at $ 650,000.00 per acre. This lot can be combined together with other lots to create larger acreages. The owner of the property is in the final stages of Plan of Sub-Division approval with the Municipality of Lakeshore and County of Essex. The 66.9 acres are already Zoned M1 Industrial with many permitted uses. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M1 INDUSTR",NULL,"https://www.realtor.ca/real-estate/25718591/lot-6-high-tech-drive-lakeshore",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE Irr x 640+/- FEET DEPTH",NULL,NULL,"false","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE Irr x 640+/- FEET DEPTH",NULL,NULL,NULL,NULL,NULL,"LOT 6 HIGH TECH DRIVE","LOT 6 HIGH TECH DRIVE",NULL,"LOT 6","HIGH TECH","Drive",NULL,NULL,"lakeshore","Ontario","N8N2L9","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
"47205","63360","48718","1397966,1666165","34","25718590","23011588","2023-06-15 19:19:09","42.29357","-82.85147","2023-10-13 22:56:41","realtypress","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TAKE EC ROW EAST TO PATILLO RD IN LAKESHORE SOUTH ON PATILLO FOR 1 KILOMETER",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"3250000.00",NULL,NULL,"Vacant Land","Lot # 7 is a 5.0 acre parcel in the New """"High Tech Industrial Park"""" in Lakeshore, located south of the EC Row Expressway just off Patillo Rd. This New 66.9 acre Industrial Park will have a new L-shaped Road with entrances from Patillo Rd and Little Baseline Rd. The proposed name of the road is High Tech Drive that will have new fully serviced industrial lots. Lot 7 is 5.00 acres offered For Sale at $ 650,000.00 per acre. This lot can be combined together with other lots to create larger acreages. The owner of the property is in the final stages of Plan of Sub-Division approval with the Municipality of Lakeshore and County of Essex. The 66.9 acres are already Zoned M1 Industrial with many permitted uses. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M1 INDUSTR",NULL,"https://www.realtor.ca/real-estate/25718590/lot-7-high-tech-drive-lakeshore",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE x 640+/- FEET DEPTH",NULL,NULL,"false","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE x 640+/- FEET DEPTH",NULL,NULL,NULL,NULL,NULL,"LOT 7 HIGH TECH DRIVE","LOT 7 HIGH TECH DRIVE",NULL,"LOT 7","HIGH TECH","Drive",NULL,NULL,"lakeshore","Ontario","N8N2L9","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
"47207","63362","48718","1397966,1666165","34","25718588","23011590","2023-06-15 20:19:27","42.29357","-82.85147","2023-10-13 22:56:42","realtypress","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"TAKE EC ROW EAST TO PATILLO RD IN LAKESHORE SOUTH ON PATILLO FOR 1 KILOMETER",NULL,NULL,NULL,NULL,NULL,"Freehold",NULL,NULL,NULL,NULL,"3250000.00",NULL,NULL,"Vacant Land","Lot # 8 is a 5.0 acre parcel in the New """"High Tech Industrial Park"""" in Lakeshore, located south of the EC Row Expressway just off Patillo Rd. This New 66.9 acre Industrial Park will have a new L-shaped Road with entrances from Patillo Rd and Little Baseline Rd. The proposed name of the road is High Tech Drive that will have new fully serviced industrial lots. Lot 8 is 5.00 acres offered For Sale at $ 650,000.00 per acre. This lot can be combined together with other lots to create larger acreages. The owner of the property is in the final stages of Plan of Sub-Division approval with the Municipality of Lakeshore and County of Essex. The 66.9 acres are already Zoned M1 Industrial with many permitted uses. (id:50029)",NULL,NULL,NULL,NULL,NULL,NULL,"For sale",NULL,NULL,NULL,NULL,NULL,"M1 INDUSTR",NULL,"https://www.realtor.ca/real-estate/25718588/lot-8-high-tech-drive-lakeshore",NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"False",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE x 640+/- FEET DEPTH",NULL,NULL,"false","Railway",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"340 +/- FEET FRONTAGE x 640+/- FEET DEPTH",NULL,NULL,NULL,NULL,NULL,"LOT 8 HIGH TECH DRIVE","LOT 8 HIGH TECH DRIVE",NULL,"LOT 8","HIGH TECH","Drive",NULL,NULL,"lakeshore","Ontario","N8N2L9","Canada",NULL,NULL,NULL,NULL,"[]","[]","[]","[]","[]","0","0"
